FSM,CoverageStrategy,ReductionStrategy,PrioritizationStrategy,SuiteSize,TotalSteps,PreReductionTotalSteps,ReductionRatio,ExecutionTimeSavings,StateCoverage,TransitionCoverage,MutationScore,KilledMutants,TotalMutants,APFD,GenerationTimeMs,MS_TransitionTargetMutation,MS_OutputMutation,MS_TransitionRemoval,MS_TransitionAddition,MS_InputMutation,MS_InitialStateMutation
MqttClientFSM,TransitionCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,20,88,132,0.4118,0.3333,1.0000,1.0000,0.7929,1876,2366,0.6823,0.26,0.4118,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,20,88,132,0.4118,0.3333,1.0000,1.0000,0.7929,1876,2366,0.6676,0.30,0.4118,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionCoverage,SimilarityReduction,CoverageBasedPrioritization,13,53,132,0.6176,0.5985,1.0000,0.7941,0.6479,1533,2366,0.6857,0.32,0.4118,0.7941,0.7941,0.0000,0.7941,1.0000
MqttClientFSM,TransitionCoverage,SimilarityReduction,WeightedTransitionPrioritization,13,53,132,0.6176,0.5985,1.0000,0.7941,0.6479,1533,2366,0.6857,0.32,0.4118,0.7941,0.7941,0.0000,0.7941,1.0000
MqttClientFSM,TransitionCoverage,MutationScorePreserving,CoverageBasedPrioritization,20,88,132,0.4118,0.3333,1.0000,1.0000,0.7929,1876,2366,0.6835,59.00,0.4118,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionCoverage,MutationScorePreserving,WeightedTransitionPrioritization,20,88,132,0.4118,0.3333,1.0000,1.0000,0.7929,1876,2366,0.6686,69.41,0.4118,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionPairCoverage,DuplicateRemoval,CoverageBasedPrioritization,107,537,537,0.0000,0.0000,1.0000,1.0000,0.9112,2156,2366,0.9050,3.81,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionPairCoverage,DuplicateRemoval,WeightedTransitionPrioritization,107,537,537,0.0000,0.0000,1.0000,1.0000,0.9112,2156,2366,0.8998,4.03,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionPairCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,16,82,537,0.8505,0.8473,1.0000,1.0000,0.8385,1984,2366,0.6784,1.41,0.6387,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionPairCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,16,82,537,0.8505,0.8473,1.0000,1.0000,0.8385,1984,2366,0.6782,1.44,0.6387,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionPairCoverage,SimilarityReduction,CoverageBasedPrioritization,14,71,537,0.8692,0.8678,1.0000,0.9412,0.7971,1886,2366,0.6691,1.51,0.6387,0.9412,0.9412,0.0000,0.9412,1.0000
MqttClientFSM,TransitionPairCoverage,SimilarityReduction,WeightedTransitionPrioritization,14,71,537,0.8692,0.8678,1.0000,0.9412,0.7971,1886,2366,0.6734,1.52,0.6387,0.9412,0.9412,0.0000,0.9412,1.0000
MqttClientFSM,TransitionPairCoverage,MutationScorePreserving,CoverageBasedPrioritization,35,180,537,0.6729,0.6648,1.0000,1.0000,0.9112,2156,2366,0.8103,135.27,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionPairCoverage,MutationScorePreserving,WeightedTransitionPrioritization,35,180,537,0.6729,0.6648,1.0000,1.0000,0.9112,2156,2366,0.8067,126.44,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),DuplicateRemoval,CoverageBasedPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6170,0.04,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),DuplicateRemoval,WeightedTransitionPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6172,0.05,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,CoverageBasedPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6170,0.04,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,WeightedTransitionPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6172,0.06,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),SimilarityReduction,CoverageBasedPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6170,0.08,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),SimilarityReduction,WeightedTransitionPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6172,0.10,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),MutationScorePreserving,CoverageBasedPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6420,34.43,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,SequenceCoverage(maxLen=3),MutationScorePreserving,WeightedTransitionPrioritization,9,27,27,0.0000,0.0000,0.6667,0.3529,0.2781,658,2366,0.6413,30.24,0.1176,0.3529,0.3529,0.0000,0.3529,1.0000
TcpConnectionFSM,StateCoverage,DuplicateRemoval,CoverageBasedPrioritization,10,28,28,0.0000,0.0000,1.0000,0.5263,0.3845,258,671,0.8725,0.04,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,DuplicateRemoval,WeightedTransitionPrioritization,10,28,28,0.0000,0.0000,1.0000,0.5263,0.3845,258,671,0.8729,0.04,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,4,16,28,0.6000,0.4286,1.0000,0.5263,0.3845,258,671,0.6812,0.04,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,4,16,28,0.6000,0.4286,1.0000,0.5263,0.3845,258,671,0.6822,0.04,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,SimilarityReduction,CoverageBasedPrioritization,4,16,28,0.6000,0.4286,1.0000,0.5263,0.3845,258,671,0.6812,0.05,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,SimilarityReduction,WeightedTransitionPrioritization,4,16,28,0.6000,0.4286,1.0000,0.5263,0.3845,258,671,0.6822,0.04,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,MutationScorePreserving,CoverageBasedPrioritization,4,16,28,0.6000,0.4286,1.0000,0.5263,0.3845,258,671,0.6851,5.54,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,StateCoverage,MutationScorePreserving,WeightedTransitionPrioritization,4,16,28,0.6000,0.4286,1.0000,0.5263,0.3845,258,671,0.6851,5.31,0.2947,0.5263,0.5263,0.0000,0.5395,1.0000
TcpConnectionFSM,TransitionCoverage,DuplicateRemoval,CoverageBasedPrioritization,19,60,60,0.0000,0.0000,1.0000,1.0000,0.6990,469,671,0.8680,0.07,0.5158,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionCoverage,DuplicateRemoval,WeightedTransitionPrioritization,19,60,60,0.0000,0.0000,1.0000,1.0000,0.6990,469,671,0.8685,0.09,0.5158,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,9,32,60,0.5263,0.4667,1.0000,1.0000,0.6990,469,671,0.7213,0.07,0.5158,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,9,32,60,0.5263,0.4667,1.0000,1.0000,0.6990,469,671,0.7225,0.08,0.5158,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionCoverage,SimilarityReduction,CoverageBasedPrioritization,8,29,60,0.5789,0.5167,1.0000,0.9474,0.6721,451,671,0.7163,0.10,0.5158,0.9474,0.9474,0.0000,0.9539,1.0000
TcpConnectionFSM,TransitionCoverage,SimilarityReduction,WeightedTransitionPrioritization,8,29,60,0.5789,0.5167,1.0000,0.9474,0.6721,451,671,0.7177,0.10,0.5158,0.9474,0.9474,0.0000,0.9539,1.0000
TcpConnectionFSM,TransitionCoverage,MutationScorePreserving,CoverageBasedPrioritization,9,32,60,0.5263,0.4667,1.0000,1.0000,0.6990,469,671,0.7246,8.02,0.5158,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionCoverage,MutationScorePreserving,WeightedTransitionPrioritization,9,32,60,0.5263,0.4667,1.0000,1.0000,0.6990,469,671,0.7246,8.81,0.5158,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionPairCoverage,DuplicateRemoval,CoverageBasedPrioritization,34,132,132,0.0000,0.0000,1.0000,1.0000,0.8361,561,671,0.8627,0.31,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionPairCoverage,DuplicateRemoval,WeightedTransitionPrioritization,34,132,132,0.0000,0.0000,1.0000,1.0000,0.8361,561,671,0.8712,0.34,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionPairCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,8,32,132,0.7647,0.7576,1.0000,1.0000,0.7422,498,671,0.7199,0.20,0.6684,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionPairCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,8,32,132,0.7647,0.7576,1.0000,1.0000,0.7422,498,671,0.7199,0.21,0.6684,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionPairCoverage,SimilarityReduction,CoverageBasedPrioritization,7,28,132,0.7941,0.7879,1.0000,0.9474,0.7034,472,671,0.7249,0.22,0.6263,0.9474,0.9474,0.0000,0.9539,1.0000
TcpConnectionFSM,TransitionPairCoverage,SimilarityReduction,WeightedTransitionPrioritization,7,28,132,0.7941,0.7879,1.0000,0.9474,0.7034,472,671,0.7200,0.23,0.6263,0.9474,0.9474,0.0000,0.9539,1.0000
TcpConnectionFSM,TransitionPairCoverage,MutationScorePreserving,CoverageBasedPrioritization,14,57,132,0.5882,0.5682,1.0000,1.0000,0.8361,561,671,0.7947,12.38,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,TransitionPairCoverage,MutationScorePreserving,WeightedTransitionPrioritization,14,57,132,0.5882,0.5682,1.0000,1.0000,0.8361,561,671,0.7971,11.77,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),DuplicateRemoval,CoverageBasedPrioritization,10,30,30,0.0000,0.0000,0.6364,0.5789,0.4307,289,671,0.7763,0.03,0.3684,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),DuplicateRemoval,WeightedTransitionPrioritization,10,30,30,0.0000,0.0000,0.6364,0.5789,0.4307,289,671,0.7645,0.04,0.3684,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,CoverageBasedPrioritization,6,18,30,0.4000,0.4000,0.6364,0.5789,0.4277,287,671,0.6344,0.03,0.3579,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,WeightedTransitionPrioritization,6,18,30,0.4000,0.4000,0.6364,0.5789,0.4277,287,671,0.6344,0.04,0.3579,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),SimilarityReduction,CoverageBasedPrioritization,6,18,30,0.4000,0.4000,0.6364,0.5789,0.4277,287,671,0.6344,0.05,0.3579,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),SimilarityReduction,WeightedTransitionPrioritization,6,18,30,0.4000,0.4000,0.6364,0.5789,0.4277,287,671,0.6344,0.05,0.3579,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),MutationScorePreserving,CoverageBasedPrioritization,7,21,30,0.3000,0.3000,0.6364,0.5789,0.4307,289,671,0.6735,5.39,0.3684,0.5789,0.5789,0.0000,0.5789,1.0000
TcpConnectionFSM,SequenceCoverage(maxLen=3),MutationScorePreserving,WeightedTransitionPrioritization,7,21,30,0.3000,0.3000,0.6364,0.5789,0.4307,289,671,0.6878,5.89,0.3684,0.5789,0.5789,0.0000,0.5789,1.0000
