FSM,CoverageStrategy,ReductionStrategy,PrioritizationStrategy,SuiteSize,TotalSteps,PreReductionTotalSteps,ReductionRatio,ExecutionTimeSavings,StateCoverage,TransitionCoverage,MutationScore,KilledMutants,TotalMutants,APFD,GenerationTimeMs,MS_TransitionTargetMutation,MS_OutputMutation,MS_TransitionRemoval,MS_TransitionAddition,MS_InputMutation,MS_InitialStateMutation
Synthetic50FSM,TransitionPairCoverage,MutationScorePreserving,CoverageBasedPrioritization,626,3012,3447,0.1208,0.1262,1.0000,1.0000,0.9912,10952,11049,0.7398,5018.13,0.9901,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,TransitionPairCoverage,MutationScorePreserving,WeightedTransitionPrioritization,626,3012,3447,0.1208,0.1262,1.0000,1.0000,0.9912,10952,11049,0.7354,5080.31,0.9901,1.0000,1.0000,,1.0000,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),DuplicateRemoval,CoverageBasedPrioritization,64,192,192,0.0000,0.0000,0.8200,0.3600,0.1313,1451,11049,0.7429,1.70,0.0990,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),DuplicateRemoval,WeightedTransitionPrioritization,64,192,192,0.0000,0.0000,0.8200,0.3600,0.1313,1451,11049,0.6906,0.93,0.0990,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,CoverageBasedPrioritization,53,159,192,0.1719,0.1719,0.8200,0.3600,0.1272,1405,11049,0.7146,1.81,0.0943,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,WeightedTransitionPrioritization,53,159,192,0.1719,0.1719,0.8200,0.3600,0.1272,1405,11049,0.7172,1.11,0.0943,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),SimilarityReduction,CoverageBasedPrioritization,49,147,192,0.2344,0.2344,0.8000,0.3400,0.1250,1381,11049,0.7089,1.78,0.0940,0.3400,0.3400,,0.3450,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),SimilarityReduction,WeightedTransitionPrioritization,49,147,192,0.2344,0.2344,0.8000,0.3400,0.1250,1381,11049,0.7116,1.79,0.0940,0.3400,0.3400,,0.3450,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),MutationScorePreserving,CoverageBasedPrioritization,61,183,192,0.0469,0.0469,0.8200,0.3600,0.1313,1451,11049,0.7827,1610.45,0.0990,0.3600,0.3600,,0.3600,1.0000
Synthetic50FSM,SequenceCoverage(maxLen=3),MutationScorePreserving,WeightedTransitionPrioritization,61,183,192,0.0469,0.0469,0.8200,0.3600,0.1313,1451,11049,0.7449,1610.63,0.0990,0.3600,0.3600,,0.3600,1.0000
Synthetic100FSM,StateCoverage,DuplicateRemoval,CoverageBasedPrioritization,99,323,323,0.0000,0.0000,1.0000,0.2475,0.1182,4976,42099,0.8860,1.91,0.1074,0.2475,0.2475,,0.2725,1.0000
Synthetic100FSM,StateCoverage,DuplicateRemoval,WeightedTransitionPrioritization,99,323,323,0.0000,0.0000,1.0000,0.2475,0.1182,4976,42099,0.8862,2.25,0.1074,0.2475,0.2475,,0.2725,1.0000
Synthetic100FSM,StateCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,49,189,323,0.5051,0.4149,1.0000,0.2475,0.1182,4976,42099,0.7697,1.79,0.1074,0.2475,0.2475,,0.2725,1.0000
Synthetic100FSM,StateCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,49,189,323,0.5051,0.4149,1.0000,0.2475,0.1182,4976,42099,0.7643,2.01,0.1074,0.2475,0.2475,,0.2725,1.0000
Synthetic100FSM,StateCoverage,SimilarityReduction,CoverageBasedPrioritization,42,162,323,0.5758,0.4985,0.9100,0.2250,0.1119,4710,42099,0.7553,5.59,0.1021,0.2250,0.2250,,0.2483,1.0000
Synthetic100FSM,StateCoverage,SimilarityReduction,WeightedTransitionPrioritization,42,162,323,0.5758,0.4985,0.9100,0.2250,0.1119,4710,42099,0.7499,3.41,0.1021,0.2250,0.2250,,0.2483,1.0000
Synthetic100FSM,StateCoverage,MutationScorePreserving,CoverageBasedPrioritization,99,323,323,0.0000,0.0000,1.0000,0.2475,0.1182,4976,42099,0.8895,36020.10,0.1074,0.2475,0.2475,,0.2725,1.0000
